SalaryHistory_ID,Employee_ID,Year,Annual_Salary,Hike_Pct,Bonus_INR
SAL00046,EMP0016,2023,771876,0.0,40932
SAL00047,EMP0016,2024,852336,10.4,17149
SAL00048,EMP0016,2025,963100,13.0,113871
SAL00049,EMP0016,2026,1053036,9.3,43929
SAL00050,EMP0017,2023,763843,0.0,2938
SAL00051,EMP0017,2024,837204,9.6,52149
SAL00052,EMP0017,2025,885545,5.8,64505
SAL00053,EMP0017,2026,932328,5.3,53606
SAL00054,EMP0018,2023,1031398,0.0,37728
SAL00055,EMP0018,2024,1063713,3.1,136650
SAL00056,EMP0018,2025,1123205,5.6,47070
SAL00057,EMP0018,2026,1173139,4.4,170578
SAL00058,EMP0019,2023,1111659,0.0,49438
SAL00059,EMP0019,2024,1254419,12.8,172755
SAL00060,EMP0019,2025,1374106,9.5,57281
SAL00061,EMP0019,2026,1511120,10.0,181283
SAL00062,EMP0020,2025,1676778,0.0,75197
SAL00063,EMP0020,2026,1871262,11.6,53692
SAL00064,EMP0021,2023,562057,0.0,50409
SAL00065,EMP0021,2024,625303,11.3,6326
SAL00066,EMP0021,2025,706396,13.0,32140
SAL00067,EMP0021,2026,807090,14.3,26520
SAL00068,EMP0022,2023,5533742,0.0,91055
SAL00069,EMP0022,2024,5741327,3.8,554844
SAL00070,EMP0022,2025,5877220,2.4,681684
SAL00071,EMP0022,2026,6255002,6.4,316000
SAL00072,EMP0023,2026,977317,0.0,65483
SAL00073,EMP0024,2023,763119,0.0,87158
SAL00074,EMP0024,2024,843922,10.6,23689
SAL00075,EMP0024,2025,974362,15.5,4166
SAL00076,EMP0024,2026,1076235,10.5,158568
SAL00077,EMP0025,2023,389620,0.0,36262
SAL00078,EMP0025,2024,432969,11.1,35408
SAL00079,EMP0025,2025,459523,6.1,6328
SAL00080,EMP0025,2026,537340,16.9,20754
SAL00081,EMP0026,2023,982754,0.0,108921
SAL00082,EMP0026,2024,1106036,12.5,127276
SAL00083,EMP0026,2025,1170945,5.9,108316
SAL00084,EMP0026,2026,1333636,13.9,130723
SAL00085,EMP0027,2023,1636682,0.0,223690
SAL00086,EMP0027,2024,1815309,10.9,218123
SAL00087,EMP0027,2025,2090884,15.2,179342
SAL00088,EMP0027,2026,2450810,17.2,239148
SAL00089,EMP0028,2023,527096,0.0,66094
SAL00090,EMP0028,2024,545550,3.5,14526
SAL00091,EMP0028,2025,576673,5.7,80397
SAL00092,EMP0028,2026,600562,4.1,43361
SAL00093,EMP0029,2023,779909,0.0,101124
SAL00094,EMP0029,2024,839389,7.6,96872
SAL00095,EMP0029,2025,957286,14.0,29108
SAL00096,EMP0029,2026,1105445,15.5,28279
SAL00097,EMP0030,2023,412136,0.0,37630
SAL00098,EMP0030,2024,466189,13.1,41305
SAL00099,EMP0030,2025,497966,6.8,48688
SAL00100,EMP0030,2026,581239,16.7,26925
SAL00101,EMP0031,2026,1406606,0.0,61614
SAL00102,EMP0032,2023,614028,0.0,17733
SAL00103,EMP0032,2024,703127,14.5,25184
SAL00104,EMP0032,2025,787401,12.0,90590
SAL00105,EMP0032,2026,910973,15.7,65402
SAL00106,EMP0033,2023,831740,0.0,47870
SAL00107,EMP0033,2024,882220,6.1,18306
SAL00108,EMP0033,2025,1034849,17.3,81612
SAL00109,EMP0033,2026,1111963,7.5,136320
SAL00110,EMP0034,2025,822439,0.0,3734
SAL00111,EMP0034,2026,875735,6.5,121768
SAL00112,EMP0035,2026,1602630,0.0,5986
SAL00113,EMP0036,2024,1977036,0.0,226578
SAL00114,EMP0036,2025,2140244,8.3,72673
SAL00115,EMP0036,2026,2287115,6.9,221556
SAL00116,EMP0037,2025,3282822,0.0,376072
SAL00117,EMP0037,2026,3435148,4.6,55639
SAL00118,EMP0038,2023,557063,0.0,38922
SAL00119,EMP0038,2024,638965,14.7,40069
SAL00120,EMP0038,2025,753902,18.0,106819
SAL00121,EMP0038,2026,822942,9.2,66459
SAL00122,EMP0039,2025,849112,0.0,20602
SAL00123,EMP0039,2026,944278,11.2,28144
SAL00124,EMP0040,2023,400160,0.0,18720
SAL00125,EMP0040,2024,442020,10.5,32071
SAL00126,EMP0040,2025,516094,16.8,33420
SAL00127,EMP0040,2026,604465,17.1,86625
SAL00128,EMP0041,2023,589252,0.0,36945
SAL00129,EMP0041,2024,607198,3.0,7035
SAL00130,EMP0041,2025,640432,5.5,57249
SAL00131,EMP0041,2026,680034,6.2,74289
SAL00132,EMP0042,2023,649444,0.0,21984
SAL00133,EMP0042,2024,696174,7.2,87385
SAL00134,EMP0042,2025,774242,11.2,4401
SAL00135,EMP0042,2026,845886,9.3,20667
SAL00136,EMP0043,2023,429290,0.0,7317
SAL00137,EMP0043,2024,449778,4.8,21077
SAL00138,EMP0043,2025,472462,5.0,49052
SAL00139,EMP0043,2026,504522,6.8,71591
SAL00140,EMP0044,2023,354241,0.0,36656
SAL00141,EMP0044,2024,417377,17.8,39491
SAL00142,EMP0044,2025,452596,8.4,11092
SAL00143,EMP0044,2026,485860,7.3,39342
SAL00144,EMP0045,2025,1256258,0.0,93909
SAL00145,EMP0045,2026,1454646,15.8,21640
SAL00146,EMP0046,2023,804474,0.0,8810
SAL00147,EMP0046,2024,910055,13.1,72429
SAL00148,EMP0046,2025,1041357,14.4,82199
SAL00149,EMP0046,2026,1145422,10.0,103175
SAL00150,EMP0047,2024,1381689,0.0,78257
SAL00151,EMP0047,2025,1503439,8.8,113392
SAL00152,EMP0047,2026,1706983,13.5,65908
SAL00153,EMP0048,2023,865033,0.0,773
SAL00154,EMP0048,2024,1001022,15.7,7909
SAL00155,EMP0048,2025,1069862,6.9,67587
SAL00156,EMP0048,2026,1230094,15.0,19018
SAL00157,EMP0049,2023,447343,0.0,49241
SAL00158,EMP0049,2024,520480,16.3,64948
SAL00159,EMP0049,2025,557998,7.2,70561
SAL00160,EMP0049,2026,656155,17.6,47903
SAL00161,EMP0050,2025,543010,0.0,64711
SAL00162,EMP0050,2026,593472,9.3,1223
SAL00163,EMP0051,2023,481445,0.0,16375
SAL00164,EMP0051,2024,513158,6.6,39486
SAL00165,EMP0051,2025,538448,4.9,49250
SAL00166,EMP0051,2026,565438,5.0,59169
SAL00167,EMP0052,2023,349177,0.0,42053
SAL00168,EMP0052,2024,359162,2.9,22525
SAL00169,EMP0052,2025,382581,6.5,2913
SAL00170,EMP0052,2026,407417,6.5,48686
SAL00171,EMP0053,2023,693316,0.0,63380
SAL00172,EMP0053,2024,710374,2.5,93203
SAL00173,EMP0053,2025,758571,6.8,4253
SAL00174,EMP0053,2026,796659,5.0,108613
SAL00175,EMP0054,2023,495558,0.0,55490
SAL00176,EMP0054,2024,565499,14.1,5622
SAL00177,EMP0054,2025,611514,8.1,88201
SAL00178,EMP0054,2026,692590,13.3,32530
SAL00179,EMP0055,2023,459775,0.0,11508
SAL00180,EMP0055,2024,486021,5.7,50507
SAL00181,EMP0055,2025,496108,2.1,35152
SAL00182,EMP0055,2026,508940,2.6,45881
SAL00183,EMP0056,2023,745334,0.0,37824
SAL00184,EMP0056,2024,829865,11.3,84881
SAL00185,EMP0056,2025,962306,16.0,46971
SAL00186,EMP0056,2026,1070648,11.3,131815
SAL00187,EMP0057,2023,339574,0.0,8224
SAL00188,EMP0057,2024,365435,7.6,49825
SAL00189,EMP0057,2025,415376,13.7,36801
SAL00190,EMP0057,2026,474572,14.3,52378
SAL00191,EMP0058,2023,854151,0.0,118917
SAL00192,EMP0058,2024,873911,2.3,102566
SAL00193,EMP0058,2025,896125,2.5,133192
SAL00194,EMP0058,2026,962391,7.4,18412
SAL00195,EMP0059,2025,2553895,0.0,245417
SAL00196,EMP0059,2026,2796971,9.5,57572
SAL00197,EMP0060,2023,1225544,0.0,109156
SAL00198,EMP0060,2024,1353080,10.4,21220
SAL00199,EMP0060,2025,1484904,9.7,110459
SAL00200,EMP0060,2026,1692841,14.0,108680
SAL00201,EMP0061,2023,386693,0.0,2827
SAL00202,EMP0061,2024,421185,8.9,37071
SAL00203,EMP0061,2025,474126,12.6,31393
SAL00204,EMP0061,2026,532329,12.3,55125
SAL00205,EMP0062,2024,938976,0.0,89557
SAL00206,EMP0062,2025,993769,5.8,97123
SAL00207,EMP0062,2026,1027894,3.4,82204
SAL00208,EMP0063,2025,1139662,0.0,108349
SAL00209,EMP0063,2026,1214338,6.6,30557
SAL00210,EMP0064,2024,1376805,0.0,54276
SAL00211,EMP0064,2025,1458488,5.9,153881
SAL00212,EMP0064,2026,1695158,16.2,87614
SAL00213,EMP0065,2023,1979329,0.0,194746
SAL00214,EMP0065,2024,2112183,6.7,39132
SAL00215,EMP0065,2025,2269381,7.4,267785
SAL00216,EMP0065,2026,2505379,10.4,77904
SAL00217,EMP0066,2025,5306884,0.0,70648
SAL00218,EMP0066,2026,5606296,5.6,622286
SAL00219,EMP0067,2023,814895,0.0,56315
SAL00220,EMP0067,2024,923570,13.3,118239
SAL00221,EMP0067,2025,1083665,17.3,81760
SAL00222,EMP0067,2026,1155973,6.7,146287
SAL00223,EMP0068,2023,715093,0.0,63712
SAL00224,EMP0068,2024,786901,10.0,72541
SAL00225,EMP0068,2025,897825,14.1,79737
SAL00226,EMP0068,2026,1040701,15.9,137781
SAL00227,EMP0069,2023,1009220,0.0,107047
SAL00228,EMP0069,2024,1126260,11.6,51956
SAL00229,EMP0069,2025,1292920,14.8,22354
SAL00230,EMP0069,2026,1438536,11.3,149855
SAL00231,EMP0070,2023,1678871,0.0,129672
SAL00232,EMP0070,2024,1838658,9.5,26712
SAL00233,EMP0070,2025,1984244,7.9,136247
SAL00234,EMP0070,2026,2193049,10.5,107408
SAL00235,EMP0071,2024,1414396,0.0,48025
SAL00236,EMP0071,2025,1646013,16.4,47298
SAL00237,EMP0071,2026,1811484,10.1,182213
SAL00238,EMP0072,2023,380800,0.0,8725
SAL00239,EMP0072,2024,420728,10.5,15404
SAL00240,EMP0072,2025,481788,14.5,566
SAL00241,EMP0072,2026,556842,15.6,15794
SAL00242,EMP0073,2023,936237,0.0,2616
SAL00243,EMP0073,2024,1054421,12.6,28992
SAL00244,EMP0073,2025,1145738,8.7,127888
SAL00245,EMP0073,2026,1223005,6.7,102354
SAL00246,EMP0074,2026,1999367,0.0,106849
SAL00247,EMP0075,2023,1308726,0.0,178827
SAL00248,EMP0075,2024,1354038,3.5,170809
SAL00249,EMP0075,2025,1448184,7.0,4451
SAL00250,EMP0075,2026,1542589,6.5,219376
SAL00251,EMP0076,2023,1232577,0.0,101792
SAL00252,EMP0076,2024,1330455,7.9,1161
SAL00253,EMP0076,2025,1512403,13.7,110116
SAL00254,EMP0076,2026,1691081,11.8,206600
SAL00255,EMP0077,2024,776906,0.0,54162
SAL00256,EMP0077,2025,835208,7.5,24715
SAL00257,EMP0077,2026,893245,6.9,91304
SAL00258,EMP0078,2026,2632575,0.0,218721
SAL00259,EMP0079,2026,1197748,0.0,123325
SAL00260,EMP0080,2023,512814,0.0,68267
SAL00261,EMP0080,2024,531973,3.7,40552
SAL00262,EMP0080,2025,554541,4.2,8504
SAL00263,EMP0080,2026,590151,6.4,244
SAL00264,EMP0081,2023,1276884,0.0,122886
SAL00265,EMP0081,2024,1359459,6.5,53277
SAL00266,EMP0081,2025,1444556,6.3,4840
SAL00267,EMP0081,2026,1549709,7.3,57147
SAL00268,EMP0082,2023,702808,0.0,92988
SAL00269,EMP0082,2024,785802,11.8,58260
SAL00270,EMP0082,2025,856611,9.0,39925
SAL00271,EMP0082,2026,983228,14.8,99860
SAL00272,EMP0083,2023,468618,0.0,30050
SAL00273,EMP0083,2024,499806,6.7,44766
SAL00274,EMP0083,2025,576374,15.3,54153
SAL00275,EMP0083,2026,620704,7.7,10598
SAL00276,EMP0084,2026,673390,0.0,15195
SAL00277,EMP0085,2023,1087701,0.0,63657
SAL00278,EMP0085,2024,1163472,7.0,141568
SAL00279,EMP0085,2025,1326085,14.0,866
SAL00280,EMP0085,2026,1488375,12.2,180022
SAL00281,EMP0086,2025,1686665,0.0,224643
SAL00282,EMP0086,2026,1955855,16.0,172760
SAL00283,EMP0087,2023,759474,0.0,85123
SAL00284,EMP0087,2024,783771,3.2,87113
SAL00285,EMP0087,2025,830546,6.0,114638
SAL00286,EMP0087,2026,896241,7.9,16796
SAL00287,EMP0088,2025,1353084,0.0,24611
SAL00288,EMP0088,2026,1545658,14.2,171930
SAL00289,EMP0089,2024,621412,0.0,10302
SAL00290,EMP0089,2025,693078,11.5,61162
SAL00291,EMP0089,2026,811536,17.1,63494
SAL00292,EMP0090,2025,2391246,0.0,109627
SAL00293,EMP0090,2026,2443378,2.2,334258
SAL00294,EMP0091,2023,1175987,0.0,45924
SAL00295,EMP0091,2024,1220937,3.8,132938
SAL00296,EMP0091,2025,1293041,5.9,19303
SAL00297,EMP0091,2026,1348766,4.3,170405
SAL00298,EMP0092,2023,2303352,0.0,105408
SAL00299,EMP0092,2024,2350825,2.1,257601
SAL00300,EMP0092,2025,2479864,5.5,320397
SAL00301,EMP0092,2026,2591083,4.5,25820
SAL00302,EMP0093,2023,892723,0.0,94693
SAL00303,EMP0093,2024,922625,3.3,57332
SAL00304,EMP0093,2025,995765,7.9,90449
SAL00305,EMP0093,2026,1055581,6.0,51887
SAL00306,EMP0094,2024,902670,0.0,52656
SAL00307,EMP0094,2025,960437,6.4,40711
SAL00308,EMP0094,2026,1091650,13.7,65780
SAL00309,EMP0095,2024,360662,0.0,45172
SAL00310,EMP0095,2025,384610,6.6,29374
SAL00311,EMP0095,2026,440822,14.6,43256
SAL00312,EMP0096,2024,2090682,0.0,305160
SAL00313,EMP0096,2025,2420928,15.8,331014
SAL00314,EMP0096,2026,2672442,10.4,179465
SAL00315,EMP0097,2023,526754,0.0,32705
SAL00316,EMP0097,2024,606756,15.2,7145
SAL00317,EMP0097,2025,700689,15.5,48385
SAL00318,EMP0097,2026,740044,5.6,52796
SAL00319,EMP0098,2025,699575,0.0,72803
SAL00320,EMP0098,2026,780147,11.5,8072
SAL00321,EMP0099,2023,769323,0.0,101301
SAL00322,EMP0099,2024,877899,14.1,104337
SAL00323,EMP0099,2025,929447,5.9,86445
SAL00324,EMP0099,2026,1031027,10.9,39783
SAL00325,EMP0100,2023,1343680,0.0,142032
SAL00326,EMP0100,2024,1461889,8.8,158238
SAL00327,EMP0100,2025,1697342,16.1,18939
SAL00328,EMP0100,2026,1844883,8.7,262404
SAL00329,EMP0101,2023,886543,0.0,132469
SAL00330,EMP0101,2024,999951,12.8,62379
SAL00331,EMP0101,2025,1153855,15.4,133084
SAL00332,EMP0101,2026,1264879,9.6,131802
SAL00333,EMP0102,2023,559501,0.0,9677
SAL00334,EMP0102,2024,653442,16.8,42992
SAL00335,EMP0102,2025,763359,16.8,15834
SAL00336,EMP0102,2026,890787,16.7,72492
SAL00337,EMP0103,2023,1247616,0.0,107009
SAL00338,EMP0103,2024,1326906,6.4,92287
SAL00339,EMP0103,2025,1399170,5.4,115464
SAL00340,EMP0103,2026,1464236,4.7,108509
SAL00341,EMP0104,2025,2838396,0.0,72176
SAL00342,EMP0104,2026,3289953,15.9,266413
SAL00343,EMP0105,2023,2613173,0.0,297531
SAL00344,EMP0105,2024,2682451,2.7,343677
SAL00345,EMP0105,2025,2888466,7.7,171856
SAL00346,EMP0105,2026,2975095,3.0,344220
SAL00347,EMP0106,2023,335968,0.0,1553
SAL00348,EMP0106,2024,381872,13.7,56191
SAL00349,EMP0106,2025,447082,17.1,17175
SAL00350,EMP0106,2026,485064,8.5,39966
SAL00351,EMP0107,2023,1031063,0.0,49731
SAL00352,EMP0107,2024,1186991,15.1,175873
SAL00353,EMP0107,2025,1287007,8.4,67115
SAL00354,EMP0107,2026,1445369,12.3,194079
SAL00355,EMP0108,2023,755742,0.0,53645
SAL00356,EMP0108,2024,875433,15.8,103569
SAL00357,EMP0108,2025,971330,11.0,20139
SAL00358,EMP0108,2026,1128286,16.2,62315
SAL00359,EMP0109,2023,581707,0.0,81963
SAL00360,EMP0109,2024,643834,10.7,44556
SAL00361,EMP0109,2025,720893,12.0,2156
SAL00362,EMP0109,2026,843021,16.9,101835
SAL00363,EMP0110,2023,737788,0.0,77901
SAL00364,EMP0110,2024,783418,6.2,45439
SAL00365,EMP0110,2025,841146,7.4,94406
SAL00366,EMP0110,2026,902462,7.3,104930
SAL00367,EMP0111,2026,1691897,0.0,195248
SAL00368,EMP0112,2023,795347,0.0,100139
SAL00369,EMP0112,2024,846627,6.4,47788
SAL00370,EMP0112,2025,892226,5.4,49353
SAL00371,EMP0112,2026,920109,3.1,100564
SAL00372,EMP0113,2023,543267,0.0,37326
SAL00373,EMP0113,2024,611334,12.5,11398
SAL00374,EMP0113,2025,715309,17.0,20215
SAL00375,EMP0113,2026,826124,15.5,83508
SAL00376,EMP0114,2023,1704028,0.0,184935
SAL00377,EMP0114,2024,1780003,4.5,258328
SAL00378,EMP0114,2025,1898373,6.6,280445
SAL00379,EMP0114,2026,1983618,4.5,21804
SAL00380,EMP0115,2026,791797,0.0,57454
SAL00381,EMP0116,2023,1665872,0.0,224897
SAL00382,EMP0116,2024,1755461,5.4,117175
SAL00383,EMP0116,2025,1995893,13.7,112545
SAL00384,EMP0116,2026,2130926,6.8,288662
SAL00385,EMP0117,2023,1463448,0.0,2990
SAL00386,EMP0117,2024,1549308,5.9,198797
SAL00387,EMP0117,2025,1646954,6.3,239326
SAL00388,EMP0117,2026,1930521,17.2,223830
SAL00389,EMP0118,2023,1305780,0.0,116097
SAL00390,EMP0118,2024,1537171,17.7,42963
SAL00391,EMP0118,2025,1709297,11.2,247531
SAL00392,EMP0118,2026,1882760,10.1,9149
SAL00393,EMP0119,2026,1665471,0.0,52256
SAL00394,EMP0120,2026,783879,0.0,84786
SAL00395,EMP0121,2023,1218372,0.0,58664
SAL00396,EMP0121,2024,1318923,8.3,98391
SAL00397,EMP0121,2025,1435491,8.8,94790
SAL00398,EMP0121,2026,1590084,10.8,110238
SAL00399,EMP0122,2025,684531,0.0,60293
SAL00400,EMP0122,2026,761740,11.3,83964
SAL00401,EMP0123,2023,590349,0.0,53166
SAL00402,EMP0123,2024,620059,5.0,86422
SAL00403,EMP0123,2025,701758,13.2,42726
SAL00404,EMP0123,2026,746027,6.3,64275
SAL00405,EMP0124,2023,337573,0.0,38597
SAL00406,EMP0124,2024,391600,16.0,26741
SAL00407,EMP0124,2025,453891,15.9,64109
SAL00408,EMP0124,2026,524117,15.5,62693
SAL00409,EMP0125,2024,912766,0.0,63960
SAL00410,EMP0125,2025,942042,3.2,19895
SAL00411,EMP0125,2026,975615,3.6,102883
SAL00412,EMP0126,2023,1202158,0.0,89579
SAL00413,EMP0126,2024,1354525,12.7,70922
SAL00414,EMP0126,2025,1527375,12.8,111596
SAL00415,EMP0126,2026,1653633,8.3,234426
SAL00416,EMP0127,2023,1712751,0.0,63199
SAL00417,EMP0127,2024,1964550,14.7,26255
SAL00418,EMP0127,2025,2198819,11.9,185486
SAL00419,EMP0127,2026,2465905,12.1,271310
SAL00420,EMP0128,2025,551779,0.0,16320
SAL00421,EMP0128,2026,577009,4.6,7619
SAL00422,EMP0129,2023,1655856,0.0,35808
SAL00423,EMP0129,2024,1949824,17.8,92325
SAL00424,EMP0129,2025,2131093,9.3,221470
SAL00425,EMP0129,2026,2473088,16.0,219977
SAL00426,EMP0130,2023,789132,0.0,66635
SAL00427,EMP0130,2024,879404,11.4,12767
SAL00428,EMP0130,2025,954484,8.5,8563
SAL00429,EMP0130,2026,1018064,6.7,147731
SAL00430,EMP0131,2023,390187,0.0,5939
SAL00431,EMP0131,2024,410413,5.2,51090
SAL00432,EMP0131,2025,433695,5.7,19259
SAL00433,EMP0131,2026,473860,9.3,50607
SAL00434,EMP0132,2023,717297,0.0,100737
SAL00435,EMP0132,2024,826592,15.2,96117
SAL00436,EMP0132,2025,901822,9.1,3406
SAL00437,EMP0132,2026,961234,6.6,10717
SAL00438,EMP0133,2023,685065,0.0,4577
SAL00439,EMP0133,2024,779123,13.7,59080
SAL00440,EMP0133,2025,910894,16.9,54954
SAL00441,EMP0133,2026,959467,5.3,136066
SAL00442,EMP0134,2025,771790,0.0,51444
SAL00443,EMP0134,2026,802055,3.9,57806
SAL00444,EMP0135,2025,1019654,0.0,60763
SAL00445,EMP0135,2026,1192279,16.9,165361
SAL00446,EMP0136,2025,1071625,0.0,130061
SAL00447,EMP0136,2026,1168258,9.0,74201
SAL00448,EMP0137,2024,2132953,0.0,300131
SAL00449,EMP0137,2025,2351037,10.2,121622
SAL00450,EMP0137,2026,2543167,8.2,300803
SAL00451,EMP0138,2025,981310,0.0,72428
SAL00452,EMP0138,2026,1002846,2.2,27429
SAL00453,EMP0139,2023,1058741,0.0,150795
SAL00454,EMP0139,2024,1155440,9.1,99080
SAL00455,EMP0139,2025,1299488,12.5,130498
SAL00456,EMP0139,2026,1400051,7.7,17742
SAL00457,EMP0140,2023,814423,0.0,1739
SAL00458,EMP0140,2024,876439,7.6,91790
SAL00459,EMP0140,2025,936605,6.9,77016
SAL00460,EMP0140,2026,1047197,11.8,32991
SAL00461,EMP0141,2023,595536,0.0,22956
SAL00462,EMP0141,2024,644909,8.3,46984
SAL00463,EMP0141,2025,722558,12.0,82609
SAL00464,EMP0141,2026,846279,17.1,8881
SAL00465,EMP0142,2023,1066969,0.0,10970
SAL00466,EMP0142,2024,1201173,12.6,51463
SAL00467,EMP0142,2025,1412149,17.6,198101
SAL00468,EMP0142,2026,1501769,6.3,92634
SAL00469,EMP0143,2023,2486300,0.0,154039
SAL00470,EMP0143,2024,2615270,5.2,87059
SAL00471,EMP0143,2025,3038359,16.2,346990
SAL00472,EMP0143,2026,3427729,12.8,302730
SAL00473,EMP0144,2023,1046780,0.0,9529
SAL00474,EMP0144,2024,1119244,6.9,59839
SAL00475,EMP0144,2025,1171746,4.7,36574
SAL00476,EMP0144,2026,1253231,7.0,64724
SAL00477,EMP0145,2024,828688,0.0,51011
SAL00478,EMP0145,2025,894349,7.9,112775
SAL00479,EMP0145,2026,950320,6.3,9508
SAL00480,EMP0146,2023,3068832,0.0,439107
SAL00481,EMP0146,2024,3189164,3.9,37242
SAL00482,EMP0146,2025,3392233,6.4,468841
SAL00483,EMP0146,2026,3538895,4.3,211825
SAL00484,EMP0147,2023,816869,0.0,27846
SAL00485,EMP0147,2024,859485,5.2,73947
SAL00486,EMP0147,2025,995360,15.8,123308
SAL00487,EMP0147,2026,1146200,15.2,144208
SAL00488,EMP0148,2023,1379054,0.0,183427
SAL00489,EMP0148,2024,1500032,8.8,171042
SAL00490,EMP0148,2025,1664957,11.0,50967
SAL00491,EMP0148,2026,1795361,7.8,11192
SAL00492,EMP0149,2023,607461,0.0,21113
SAL00493,EMP0149,2024,670012,10.3,90515
SAL00494,EMP0149,2025,747981,11.6,99120
SAL00495,EMP0149,2026,836726,11.9,74511
SAL00496,EMP0150,2023,430158,0.0,53670
SAL00497,EMP0150,2024,500462,16.3,58683
SAL00498,EMP0150,2025,566710,13.2,1117
SAL00499,EMP0150,2026,644001,13.6,23640
SAL00500,EMP0151,2024,397071,0.0,33410
SAL00501,EMP0151,2025,436637,10.0,10934
SAL00502,EMP0151,2026,480313,10.0,578
SAL00503,EMP0152,2026,889679,0.0,123711
SAL00504,EMP0153,2025,615703,0.0,40490
SAL00505,EMP0153,2026,656286,6.6,73300
SAL00506,EMP0154,2023,1772558,0.0,55280
SAL00507,EMP0154,2024,1912448,7.9,40726
SAL00508,EMP0154,2025,2089046,9.2,246365
SAL00509,EMP0154,2026,2215182,6.0,267048
SAL00510,EMP0155,2023,787509,0.0,53214
SAL00511,EMP0155,2024,911776,15.8,118572
SAL00512,EMP0155,2025,997798,9.4,129313
SAL00513,EMP0155,2026,1101514,10.4,18736
SAL00514,EMP0156,2023,442775,0.0,17665
SAL00515,EMP0156,2024,509940,15.2,4373
SAL00516,EMP0156,2025,600903,17.8,29841
SAL00517,EMP0156,2026,677265,12.7,7743
SAL00518,EMP0157,2023,353194,0.0,29092
SAL00519,EMP0157,2024,415968,17.8,20944
SAL00520,EMP0157,2025,465463,11.9,57390
SAL00521,EMP0157,2026,544519,17.0,35365
SAL00522,EMP0158,2025,1813608,0.0,97360
SAL00523,EMP0158,2026,1904667,5.0,124899
SAL00524,EMP0159,2025,498265,0.0,1695
SAL00525,EMP0159,2026,567197,13.8,27422
SAL00526,EMP0160,2025,1557281,0.0,99109
SAL00527,EMP0160,2026,1719696,10.4,114794
SAL00528,EMP0161,2023,340562,0.0,42166
SAL00529,EMP0161,2024,383916,12.7,11124
SAL00530,EMP0161,2025,427177,11.3,17451
SAL00531,EMP0161,2026,475681,11.4,61885
SAL00532,EMP0162,2023,396202,0.0,26533
SAL00533,EMP0162,2024,408627,3.1,18468
SAL00534,EMP0162,2025,435204,6.5,37761
SAL00535,EMP0162,2026,448477,3.0,54290
SAL00536,EMP0163,2023,649666,0.0,91014
SAL00537,EMP0163,2024,712848,9.7,97661
SAL00538,EMP0163,2025,772470,8.4,40524
SAL00539,EMP0163,2026,858957,11.2,41465
SAL00540,EMP0164,2023,542743,0.0,58117
SAL00541,EMP0164,2024,582418,7.3,39380
SAL00542,EMP0164,2025,638523,9.6,38950
SAL00543,EMP0164,2026,689448,8.0,88856
SAL00544,EMP0165,2023,788262,0.0,112206
SAL00545,EMP0165,2024,882175,11.9,84708
SAL00546,EMP0165,2025,1020736,15.7,36568
SAL00547,EMP0165,2026,1179372,15.5,109906
