Review_ID,Employee_ID,Quarter,Perf_Score,Goals_Met_Pct,Manager_Rating,Training_Hrs,Projects_Done
REV00134,EMP0020,2024-Q3,3.5,53,4.1,14,3
REV00135,EMP0020,2024-Q4,2.6,52,2.6,14,1
REV00136,EMP0021,2023-Q1,4.3,58,3.8,20,3
REV00137,EMP0021,2023-Q2,2.7,98,4.1,25,0
REV00138,EMP0021,2023-Q3,3.0,82,4.4,31,0
REV00139,EMP0021,2023-Q4,3.8,92,4.3,26,4
REV00140,EMP0021,2024-Q1,2.3,54,2.6,37,0
REV00141,EMP0021,2024-Q2,3.4,63,3.1,31,0
REV00142,EMP0021,2024-Q3,4.1,72,4.3,37,2
REV00143,EMP0021,2024-Q4,2.1,82,4.7,10,3
REV00144,EMP0022,2023-Q1,3.3,63,2.9,0,5
REV00145,EMP0022,2023-Q2,3.4,97,4.1,17,4
REV00146,EMP0022,2023-Q3,3.7,73,3.8,10,6
REV00147,EMP0022,2023-Q4,2.3,62,4.4,16,2
REV00148,EMP0022,2024-Q1,2.3,62,3.3,16,3
REV00149,EMP0022,2024-Q2,3.6,57,4.1,28,0
REV00150,EMP0022,2024-Q3,2.9,91,4.2,25,1
REV00151,EMP0022,2024-Q4,3.0,52,3.5,6,5
REV00152,EMP0023,2024-Q3,3.4,63,3.0,36,5
REV00153,EMP0023,2024-Q4,2.7,97,3.2,13,4
REV00154,EMP0024,2023-Q1,3.4,69,3.4,3,5
REV00155,EMP0024,2023-Q2,3.4,90,3.1,16,1
REV00156,EMP0024,2023-Q3,2.7,82,2.6,0,1
REV00157,EMP0024,2023-Q4,4.5,61,4.7,13,3
REV00158,EMP0024,2024-Q1,3.5,96,3.5,20,3
REV00159,EMP0024,2024-Q2,2.4,75,4.0,10,3
REV00160,EMP0024,2024-Q3,3.7,80,3.9,18,6
REV00161,EMP0024,2024-Q4,2.5,92,4.6,15,0
REV00162,EMP0025,2023-Q1,3.8,89,2.8,0,6
REV00163,EMP0025,2023-Q2,4.0,51,4.0,0,2
REV00164,EMP0025,2023-Q3,2.6,50,3.3,24,5
REV00165,EMP0025,2023-Q4,3.9,86,4.9,6,0
REV00166,EMP0025,2024-Q1,3.5,73,3.0,12,3
REV00167,EMP0025,2024-Q2,3.8,97,4.7,4,2
REV00168,EMP0025,2024-Q3,4.5,76,4.1,19,6
REV00169,EMP0025,2024-Q4,3.0,52,4.7,19,1
REV00170,EMP0026,2023-Q1,2.7,66,3.6,13,0
REV00171,EMP0026,2023-Q2,2.6,90,4.4,1,3
REV00172,EMP0026,2023-Q3,2.6,61,2.5,5,5
REV00173,EMP0026,2023-Q4,3.1,65,3.6,37,5
REV00174,EMP0026,2024-Q1,3.4,85,3.2,1,5
REV00175,EMP0026,2024-Q2,3.4,86,3.7,9,1
REV00176,EMP0026,2024-Q3,3.8,54,3.5,24,0
REV00177,EMP0026,2024-Q4,3.2,52,3.7,29,3
REV00178,EMP0027,2023-Q1,4.2,61,4.9,36,0
REV00179,EMP0027,2023-Q2,3.0,92,2.7,17,5
REV00180,EMP0027,2023-Q3,5.0,68,4.3,12,6
REV00181,EMP0027,2023-Q4,3.6,67,2.6,17,6
REV00182,EMP0027,2024-Q1,2.6,62,3.1,28,6
REV00183,EMP0027,2024-Q2,2.5,50,5.0,2,6
REV00184,EMP0027,2024-Q3,3.5,86,4.6,27,4
REV00185,EMP0027,2024-Q4,3.0,94,3.7,14,5
REV00186,EMP0028,2023-Q1,3.7,97,2.6,23,0
REV00187,EMP0028,2023-Q2,3.5,88,3.4,30,4
REV00188,EMP0028,2023-Q3,3.1,60,3.4,23,5
REV00189,EMP0028,2023-Q4,2.6,85,3.9,20,5
REV00190,EMP0028,2024-Q1,2.1,90,3.4,11,4
REV00191,EMP0028,2024-Q2,2.9,75,3.4,22,6
REV00192,EMP0028,2024-Q3,3.4,93,4.4,31,5
REV00193,EMP0028,2024-Q4,2.8,73,4.9,5,4
REV00194,EMP0029,2023-Q1,2.3,66,4.7,21,2
REV00195,EMP0029,2023-Q2,3.3,91,3.7,34,6
REV00196,EMP0029,2023-Q3,3.5,93,2.9,2,2
REV00197,EMP0029,2023-Q4,2.6,82,4.8,40,1
REV00198,EMP0029,2024-Q1,3.3,88,3.4,40,6
REV00199,EMP0029,2024-Q2,3.2,97,2.9,36,1
REV00200,EMP0029,2024-Q3,2.4,100,3.0,25,0
REV00201,EMP0029,2024-Q4,3.5,76,4.7,32,4
REV00202,EMP0030,2023-Q1,3.6,52,3.8,36,0
REV00203,EMP0030,2023-Q2,4.0,66,4.8,10,5
REV00204,EMP0030,2023-Q3,3.9,64,4.2,21,3
REV00205,EMP0030,2023-Q4,2.2,57,3.3,23,4
REV00206,EMP0030,2024-Q1,2.5,75,3.8,25,1
REV00207,EMP0030,2024-Q2,3.6,86,3.4,26,5
REV00208,EMP0030,2024-Q3,3.6,98,5.0,14,5
REV00209,EMP0030,2024-Q4,3.6,91,3.6,12,5
REV00210,EMP0031,2024-Q3,5.0,50,4.7,32,6
REV00211,EMP0031,2024-Q4,3.6,56,3.7,4,5
REV00212,EMP0032,2023-Q1,4.0,69,3.1,25,2
REV00213,EMP0032,2023-Q2,3.9,63,3.9,6,6
REV00214,EMP0032,2023-Q3,3.7,62,2.6,1,2
REV00215,EMP0032,2023-Q4,3.0,57,3.0,4,0
REV00216,EMP0032,2024-Q1,3.7,66,3.6,7,3
REV00217,EMP0032,2024-Q2,2.7,72,4.2,0,5
REV00218,EMP0032,2024-Q3,3.0,88,3.3,24,2
REV00219,EMP0032,2024-Q4,2.9,63,3.3,39,4
REV00220,EMP0033,2023-Q1,3.3,80,4.1,37,0
REV00221,EMP0033,2023-Q2,4.8,93,3.7,2,3
REV00222,EMP0033,2023-Q3,1.9,70,3.4,16,5
REV00223,EMP0033,2023-Q4,3.7,80,4.7,24,6
REV00224,EMP0033,2024-Q1,2.1,84,4.4,27,5
REV00225,EMP0033,2024-Q2,2.9,87,4.1,22,5
REV00226,EMP0033,2024-Q3,4.0,81,5.0,24,0
REV00227,EMP0033,2024-Q4,3.2,81,4.4,5,3
REV00228,EMP0034,2024-Q1,2.4,66,3.9,5,1
REV00229,EMP0034,2024-Q2,2.7,96,4.6,40,0
REV00230,EMP0034,2024-Q3,3.1,97,3.3,38,3
REV00231,EMP0034,2024-Q4,2.4,69,3.9,28,1
REV00232,EMP0035,2024-Q4,2.7,56,2.5,8,4
REV00233,EMP0036,2023-Q1,3.2,93,4.5,32,3
REV00234,EMP0036,2023-Q2,2.7,54,3.8,29,2
REV00235,EMP0036,2023-Q3,4.7,94,3.9,34,5
REV00236,EMP0036,2023-Q4,3.6,96,2.6,37,0
REV00237,EMP0036,2024-Q1,1.8,94,3.8,11,3
REV00238,EMP0036,2024-Q2,3.3,68,4.6,2,2
REV00239,EMP0036,2024-Q3,2.7,88,3.3,7,5
REV00240,EMP0036,2024-Q4,3.8,59,4.9,4,1
REV00241,EMP0037,2023-Q2,2.6,80,3.7,0,3
REV00242,EMP0037,2023-Q3,3.1,99,4.4,11,6
REV00243,EMP0037,2023-Q4,3.6,74,2.6,11,1
REV00244,EMP0037,2024-Q1,3.8,71,4.7,37,6
REV00245,EMP0037,2024-Q2,2.4,81,3.1,28,6
REV00246,EMP0037,2024-Q3,2.3,57,2.8,8,1
REV00247,EMP0037,2024-Q4,2.2,88,3.9,28,3
REV00248,EMP0038,2023-Q1,2.7,73,4.5,27,0
REV00249,EMP0038,2023-Q2,4.4,95,3.8,23,5
REV00250,EMP0038,2023-Q3,3.5,84,2.8,30,0
REV00251,EMP0038,2023-Q4,2.3,67,3.6,27,0
REV00252,EMP0038,2024-Q1,3.8,54,2.7,22,3
REV00253,EMP0038,2024-Q2,4.7,75,3.8,15,1
REV00254,EMP0038,2024-Q3,3.9,57,2.6,5,4
REV00255,EMP0038,2024-Q4,2.1,61,4.2,28,5
REV00256,EMP0039,2023-Q2,2.9,84,3.4,16,3
REV00257,EMP0039,2023-Q3,4.1,54,4.9,11,4
REV00258,EMP0039,2023-Q4,2.7,76,2.8,2,1
REV00259,EMP0039,2024-Q1,3.5,62,2.9,8,5
REV00260,EMP0039,2024-Q2,3.7,94,3.5,23,0
REV00261,EMP0039,2024-Q3,2.6,82,4.5,7,4
REV00262,EMP0039,2024-Q4,3.2,92,3.2,33,0
REV00263,EMP0040,2023-Q1,1.0,69,4.7,8,2
REV00264,EMP0040,2023-Q2,2.5,65,4.7,13,1
REV00265,EMP0040,2023-Q3,3.0,92,3.7,30,1
REV00266,EMP0040,2023-Q4,2.3,56,2.9,35,5
REV00267,EMP0040,2024-Q1,4.3,90,3.9,4,1
REV00268,EMP0040,2024-Q2,2.2,92,2.8,32,1
REV00269,EMP0040,2024-Q3,2.9,98,2.7,32,0
REV00270,EMP0040,2024-Q4,3.3,86,2.9,40,6
REV00271,EMP0041,2023-Q1,4.2,76,4.6,23,1
REV00272,EMP0041,2023-Q2,2.2,66,3.5,27,0
REV00273,EMP0041,2023-Q3,4.0,70,4.5,1,1
REV00274,EMP0041,2023-Q4,3.2,92,4.3,23,3
REV00275,EMP0041,2024-Q1,2.5,78,4.0,14,5
REV00276,EMP0041,2024-Q2,3.5,58,3.7,32,3
REV00277,EMP0041,2024-Q3,2.7,98,4.1,15,4
REV00278,EMP0041,2024-Q4,2.2,81,4.4,27,4
REV00279,EMP0042,2023-Q1,3.2,51,3.5,35,0
REV00280,EMP0042,2023-Q2,2.9,95,4.7,9,6
REV00281,EMP0042,2023-Q3,3.3,91,2.6,17,3
REV00282,EMP0042,2023-Q4,3.7,67,3.7,21,2
REV00283,EMP0042,2024-Q1,4.3,84,4.0,19,6
REV00284,EMP0042,2024-Q2,2.3,80,3.8,24,6
REV00285,EMP0042,2024-Q3,4.7,94,4.0,35,5
REV00286,EMP0042,2024-Q4,1.8,88,4.0,36,1
REV00287,EMP0043,2023-Q1,3.1,80,3.3,31,2
REV00288,EMP0043,2023-Q2,3.6,84,3.8,40,0
REV00289,EMP0043,2023-Q3,3.4,66,4.1,17,6
REV00290,EMP0043,2023-Q4,2.8,68,4.0,14,2
REV00291,EMP0043,2024-Q1,3.1,70,4.8,36,1
REV00292,EMP0043,2024-Q2,2.9,72,4.9,12,6
REV00293,EMP0043,2024-Q3,2.3,93,3.5,16,4
REV00294,EMP0043,2024-Q4,3.3,92,3.0,39,6
REV00295,EMP0044,2023-Q1,3.4,58,4.5,18,1
REV00296,EMP0044,2023-Q2,2.7,93,4.2,34,4
REV00297,EMP0044,2023-Q3,3.8,70,3.0,29,4
REV00298,EMP0044,2023-Q4,3.4,83,2.9,18,5
REV00299,EMP0044,2024-Q1,3.8,65,3.0,40,6
REV00300,EMP0044,2024-Q2,3.6,71,3.0,31,2
REV00301,EMP0044,2024-Q3,2.6,65,3.5,17,4
REV00302,EMP0044,2024-Q4,2.8,79,3.8,9,2
REV00303,EMP0045,2024-Q1,3.7,88,2.7,7,3
REV00304,EMP0045,2024-Q2,3.6,85,5.0,0,0
REV00305,EMP0045,2024-Q3,3.2,62,4.5,16,3
REV00306,EMP0045,2024-Q4,3.3,79,4.8,35,4
REV00307,EMP0046,2023-Q1,4.1,67,3.8,26,1
REV00308,EMP0046,2023-Q2,2.8,67,2.6,27,5
REV00309,EMP0046,2023-Q3,3.6,81,4.0,30,3
REV00310,EMP0046,2023-Q4,3.1,74,3.3,8,1
REV00311,EMP0046,2024-Q1,3.0,57,3.4,3,0
REV00312,EMP0046,2024-Q2,4.0,54,3.2,35,4
REV00313,EMP0046,2024-Q3,3.8,67,2.8,6,5
REV00314,EMP0046,2024-Q4,3.8,93,3.6,2,5
REV00315,EMP0047,2023-Q1,4.1,86,2.6,7,2
REV00316,EMP0047,2023-Q2,3.2,89,4.3,18,3
REV00317,EMP0047,2023-Q3,3.7,65,3.1,39,4
REV00318,EMP0047,2023-Q4,3.0,86,4.4,35,2
REV00319,EMP0047,2024-Q1,3.4,65,2.9,35,4
REV00320,EMP0047,2024-Q2,3.1,70,4.4,10,6
REV00321,EMP0047,2024-Q3,3.3,74,3.0,39,0
REV00322,EMP0047,2024-Q4,3.6,60,2.7,39,2
REV00323,EMP0048,2023-Q1,2.6,81,2.8,15,6
REV00324,EMP0048,2023-Q2,4.7,76,3.1,29,4
REV00325,EMP0048,2023-Q3,2.5,60,4.7,14,2
REV00326,EMP0048,2023-Q4,2.4,56,2.5,19,3
REV00327,EMP0048,2024-Q1,4.0,87,4.7,24,3
REV00328,EMP0048,2024-Q2,3.8,63,3.1,5,3
REV00329,EMP0048,2024-Q3,3.6,95,3.6,9,5
REV00330,EMP0048,2024-Q4,3.6,74,4.6,24,0
REV00331,EMP0049,2023-Q1,3.2,84,4.4,13,5
REV00332,EMP0049,2023-Q2,2.6,81,3.6,33,2
REV00333,EMP0049,2023-Q3,3.3,70,2.6,32,4
REV00334,EMP0049,2023-Q4,2.7,74,4.6,38,1
REV00335,EMP0049,2024-Q1,3.9,73,2.9,4,4
REV00336,EMP0049,2024-Q2,3.1,94,4.2,10,6
REV00337,EMP0049,2024-Q3,2.6,75,3.0,20,2
REV00338,EMP0049,2024-Q4,3.0,75,3.2,18,1
REV00339,EMP0050,2023-Q3,3.5,74,4.0,30,0
REV00340,EMP0050,2023-Q4,2.8,93,4.8,15,5
REV00341,EMP0050,2024-Q1,2.6,94,2.7,1,3
REV00342,EMP0050,2024-Q2,3.4,86,3.4,24,0
REV00343,EMP0050,2024-Q3,3.4,81,3.6,28,3
REV00344,EMP0050,2024-Q4,2.8,55,3.6,22,1
REV00345,EMP0051,2023-Q1,2.9,67,3.4,16,3
REV00346,EMP0051,2023-Q2,3.4,60,2.9,37,5
REV00347,EMP0051,2023-Q3,2.2,83,4.0,12,6
REV00348,EMP0051,2023-Q4,2.2,52,4.9,23,0
REV00349,EMP0051,2024-Q1,2.7,98,3.1,10,0
REV00350,EMP0051,2024-Q2,3.1,89,4.2,3,2
REV00351,EMP0051,2024-Q3,3.1,66,3.6,18,1
REV00352,EMP0051,2024-Q4,3.5,67,4.7,11,1
REV00353,EMP0052,2023-Q1,3.8,76,3.3,33,0
REV00354,EMP0052,2023-Q2,3.1,64,4.7,39,0
REV00355,EMP0052,2023-Q3,3.2,86,4.1,11,2
REV00356,EMP0052,2023-Q4,2.5,85,3.7,27,1
REV00357,EMP0052,2024-Q1,3.2,65,2.5,12,4
REV00358,EMP0052,2024-Q2,3.0,95,2.7,6,2
REV00359,EMP0052,2024-Q3,2.7,61,3.8,29,4
REV00360,EMP0052,2024-Q4,1.9,96,2.9,34,1
REV00361,EMP0053,2023-Q1,3.6,65,4.5,20,6
REV00362,EMP0053,2023-Q2,4.3,60,4.4,32,6
REV00363,EMP0053,2023-Q3,3.1,51,3.8,3,3
REV00364,EMP0053,2023-Q4,3.5,58,2.9,30,1
REV00365,EMP0053,2024-Q1,3.7,58,3.1,38,6
REV00366,EMP0053,2024-Q2,2.9,73,3.9,17,3
REV00367,EMP0053,2024-Q3,2.9,61,4.3,15,1
REV00368,EMP0053,2024-Q4,2.6,98,2.6,24,1
REV00369,EMP0054,2023-Q1,3.3,50,3.2,33,6
REV00370,EMP0054,2023-Q2,2.7,81,4.2,25,4
REV00371,EMP0054,2023-Q3,3.2,84,4.3,33,3
REV00372,EMP0054,2023-Q4,3.5,91,4.9,22,6
REV00373,EMP0054,2024-Q1,4.2,88,3.9,25,6
REV00374,EMP0054,2024-Q2,3.9,66,3.8,26,1
REV00375,EMP0054,2024-Q3,4.7,82,4.6,8,6
REV00376,EMP0054,2024-Q4,2.7,52,3.0,38,2
REV00377,EMP0055,2023-Q1,3.8,69,2.8,26,3
REV00378,EMP0055,2023-Q2,3.3,74,3.2,1,2
REV00379,EMP0055,2023-Q3,4.7,81,3.0,1,1
REV00380,EMP0055,2023-Q4,2.6,77,4.4,9,3
REV00381,EMP0055,2024-Q1,2.6,87,4.5,8,5
REV00382,EMP0055,2024-Q2,2.8,100,3.3,15,1
REV00383,EMP0055,2024-Q3,1.4,64,4.8,16,3
REV00384,EMP0055,2024-Q4,2.3,95,3.7,13,3
REV00385,EMP0056,2023-Q1,2.7,58,3.5,3,1
REV00386,EMP0056,2023-Q2,3.3,59,4.7,6,2
REV00387,EMP0056,2023-Q3,3.4,73,2.6,29,3
REV00388,EMP0056,2023-Q4,4.5,91,4.7,4,4
REV00389,EMP0056,2024-Q1,3.9,68,3.4,32,4
REV00390,EMP0056,2024-Q2,2.8,80,2.6,30,0
REV00391,EMP0056,2024-Q3,2.6,72,3.3,19,4
REV00392,EMP0056,2024-Q4,3.5,60,2.5,6,1
REV00393,EMP0057,2023-Q1,2.3,97,4.3,17,0
REV00394,EMP0057,2023-Q2,4.5,51,3.8,40,4
REV00395,EMP0057,2023-Q3,4.0,73,2.6,25,2
REV00396,EMP0057,2023-Q4,2.9,89,3.7,39,2
REV00397,EMP0057,2024-Q1,2.0,68,3.4,33,4
REV00398,EMP0057,2024-Q2,4.1,57,4.7,31,3
REV00399,EMP0057,2024-Q3,3.1,98,3.8,35,5
REV00400,EMP0057,2024-Q4,4.1,97,3.9,4,1
REV00401,EMP0058,2023-Q1,2.1,74,3.3,28,5
REV00402,EMP0058,2023-Q2,2.8,96,4.1,9,1
REV00403,EMP0058,2023-Q3,3.2,98,4.8,5,4
REV00404,EMP0058,2023-Q4,3.2,74,3.2,14,0
REV00405,EMP0058,2024-Q1,2.9,52,3.3,8,1
REV00406,EMP0058,2024-Q2,3.6,76,3.9,26,6
REV00407,EMP0058,2024-Q3,1.7,59,3.6,36,2
REV00408,EMP0058,2024-Q4,2.3,63,2.5,4,1
REV00409,EMP0059,2023-Q4,3.3,52,3.2,30,6
REV00410,EMP0059,2024-Q1,3.6,54,3.0,10,5
REV00411,EMP0059,2024-Q2,3.7,81,2.8,29,6
REV00412,EMP0059,2024-Q3,2.4,71,4.0,23,6
REV00413,EMP0059,2024-Q4,2.1,80,4.9,16,4
REV00414,EMP0060,2023-Q1,4.1,85,3.9,21,5
REV00415,EMP0060,2023-Q2,3.4,92,3.3,9,5
REV00416,EMP0060,2023-Q3,2.7,93,4.6,37,4
REV00417,EMP0060,2023-Q4,4.3,93,3.2,38,6
REV00418,EMP0060,2024-Q1,3.3,65,3.1,1,3
REV00419,EMP0060,2024-Q2,4.0,80,3.2,32,2
REV00420,EMP0060,2024-Q3,3.2,81,4.9,25,0
REV00421,EMP0060,2024-Q4,4.6,87,3.3,16,0
REV00422,EMP0061,2023-Q1,4.4,59,3.9,14,1
REV00423,EMP0061,2023-Q2,3.0,79,4.8,6,5
REV00424,EMP0061,2023-Q3,3.9,84,3.8,26,5
REV00425,EMP0061,2023-Q4,3.7,75,3.5,21,2
REV00426,EMP0061,2024-Q1,4.2,55,3.1,39,3
REV00427,EMP0061,2024-Q2,2.5,92,2.7,20,0
REV00428,EMP0061,2024-Q3,3.7,77,3.5,27,1
REV00429,EMP0061,2024-Q4,3.9,76,3.7,1,2
REV00430,EMP0062,2023-Q1,2.0,73,2.8,15,3
REV00431,EMP0062,2023-Q2,2.4,81,4.8,25,4
REV00432,EMP0062,2023-Q3,1.8,63,3.5,15,2
REV00433,EMP0062,2023-Q4,3.0,65,4.0,10,2
