Training_ID,Employee_ID,Course_Name,Provider,Completion_Date,Duration_Hrs,Score_Pct,Certified
TRN00069,EMP0020,Cybersecurity Basics,Internal L&D,2024-02-05,20,72,Yes
TRN00070,EMP0020,ML Fundamentals,Pluralsight,2025-05-18,4,82,Yes
TRN00071,EMP0020,SQL Mastery,Internal L&D,2023-11-20,40,63,No
TRN00072,EMP0020,Power BI,Internal L&D,2023-12-11,16,98,Yes
TRN00073,EMP0021,Communication Skills,Internal L&D,2023-08-02,12,96,Yes
TRN00074,EMP0021,React JS,LinkedIn Learning,2023-12-04,4,89,No
TRN00075,EMP0022,Excel Advanced,Coursera,2024-11-09,16,88,Yes
TRN00076,EMP0022,Communication Skills,Pluralsight,2025-06-07,24,63,No
TRN00077,EMP0022,Power BI,LinkedIn Learning,2025-08-13,40,64,Yes
TRN00078,EMP0022,Agile & Scrum,Udemy,2026-02-16,8,61,No
TRN00079,EMP0023,ML Fundamentals,Pluralsight,2026-02-10,20,69,No
TRN00080,EMP0023,Cloud AWS,Udemy,2025-10-24,12,99,No
TRN00081,EMP0023,Cybersecurity Basics,Pluralsight,2025-06-16,20,87,Yes
TRN00082,EMP0023,Project Management,Internal L&D,2024-09-06,20,71,Yes
TRN00083,EMP0023,Design Thinking,Coursera,2023-06-18,20,88,Yes
TRN00084,EMP0024,Cloud AWS,Pluralsight,2025-04-01,4,67,Yes
TRN00085,EMP0024,Project Management,Udemy,2025-06-01,16,69,Yes
TRN00086,EMP0024,Data Visualization,Coursera,2025-02-04,16,88,Yes
TRN00087,EMP0025,Python for Data,Pluralsight,2024-04-13,12,85,No
TRN00088,EMP0025,ML Fundamentals,Pluralsight,2023-12-05,24,75,No
TRN00089,EMP0025,Leadership 101,Coursera,2025-08-13,40,80,Yes
TRN00090,EMP0026,Cloud AWS,Udemy,2023-11-08,12,96,No
TRN00091,EMP0026,Power BI,Udemy,2025-11-21,20,65,Yes
TRN00092,EMP0026,React JS,Coursera,2023-08-12,12,66,Yes
TRN00093,EMP0026,Leadership 101,Udemy,2025-05-25,40,97,Yes
TRN00094,EMP0026,Design Thinking,Coursera,2024-10-21,16,98,Yes
TRN00095,EMP0027,Communication Skills,LinkedIn Learning,2024-09-23,4,82,Yes
TRN00096,EMP0027,Cybersecurity Basics,LinkedIn Learning,2023-10-24,20,74,No
TRN00097,EMP0027,Cloud AWS,Udemy,2026-01-12,20,96,Yes
TRN00098,EMP0028,Excel Advanced,Udemy,2025-09-10,40,94,Yes
TRN00099,EMP0029,Excel Advanced,Pluralsight,2025-08-25,24,63,No
TRN00100,EMP0030,SQL Mastery,Internal L&D,2025-08-26,40,84,Yes
TRN00101,EMP0030,React JS,Coursera,2025-12-07,40,89,Yes
TRN00102,EMP0030,Cloud AWS,Pluralsight,2024-10-26,8,60,No
TRN00103,EMP0030,Design Thinking,Internal L&D,2023-07-17,20,61,No
TRN00104,EMP0030,DevOps CI/CD,Pluralsight,2025-03-11,20,69,No
TRN00105,EMP0031,Cloud AWS,Pluralsight,2025-12-13,16,97,No
TRN00106,EMP0032,Leadership 101,Udemy,2023-08-04,8,65,No
TRN00107,EMP0032,Cloud AWS,Coursera,2026-03-05,40,86,Yes
TRN00108,EMP0032,Python for Data,Internal L&D,2025-03-17,20,95,No
TRN00109,EMP0032,Design Thinking,Udemy,2024-02-11,24,79,No
TRN00110,EMP0033,Communication Skills,Pluralsight,2024-10-10,20,82,Yes
TRN00111,EMP0033,Cloud AWS,Udemy,2025-04-18,4,98,Yes
TRN00112,EMP0033,Power BI,Coursera,2023-04-26,8,85,Yes
TRN00113,EMP0033,SQL Mastery,Udemy,2024-09-24,20,68,Yes
TRN00114,EMP0034,DevOps CI/CD,Internal L&D,2023-07-27,20,80,No
TRN00115,EMP0034,Design Thinking,Udemy,2025-08-18,20,71,Yes
TRN00116,EMP0034,Project Management,Pluralsight,2025-04-13,24,83,No
TRN00117,EMP0034,Cybersecurity Basics,Udemy,2024-10-26,12,94,Yes
TRN00118,EMP0035,Agile & Scrum,Pluralsight,2023-04-14,4,67,No
TRN00119,EMP0036,Project Management,LinkedIn Learning,2023-10-27,24,83,Yes
TRN00120,EMP0036,Communication Skills,Udemy,2025-04-17,12,75,Yes
TRN00121,EMP0036,Excel Advanced,Udemy,2025-11-24,12,60,Yes
TRN00122,EMP0037,Project Management,Udemy,2025-01-19,8,74,Yes
TRN00123,EMP0037,Agile & Scrum,LinkedIn Learning,2024-07-29,12,69,Yes
TRN00124,EMP0037,SQL Mastery,Udemy,2025-03-21,40,90,No
TRN00125,EMP0037,DevOps CI/CD,LinkedIn Learning,2025-09-17,8,95,Yes
TRN00126,EMP0037,Data Visualization,Internal L&D,2024-05-14,8,83,Yes
TRN00127,EMP0038,Communication Skills,LinkedIn Learning,2025-02-01,40,80,Yes
TRN00128,EMP0039,Design Thinking,Pluralsight,2024-11-25,4,90,Yes
TRN00129,EMP0039,ML Fundamentals,Pluralsight,2025-05-21,8,83,No
TRN00130,EMP0039,Leadership 101,Pluralsight,2025-09-24,24,71,Yes
TRN00131,EMP0040,Python for Data,LinkedIn Learning,2026-02-06,16,73,No
TRN00132,EMP0040,Design Thinking,Coursera,2026-03-13,4,83,No
TRN00133,EMP0040,Communication Skills,Pluralsight,2024-01-03,40,68,No
TRN00134,EMP0040,Leadership 101,Udemy,2024-05-25,24,65,No
TRN00135,EMP0041,Data Visualization,Coursera,2025-05-02,8,68,No
TRN00136,EMP0041,React JS,Coursera,2024-06-19,40,79,Yes
TRN00137,EMP0041,Python for Data,LinkedIn Learning,2025-09-30,16,81,No
TRN00138,EMP0041,SQL Mastery,Pluralsight,2026-02-12,24,86,Yes
TRN00139,EMP0042,SQL Mastery,Pluralsight,2025-11-28,4,93,Yes
TRN00140,EMP0042,Agile & Scrum,LinkedIn Learning,2024-08-26,20,71,Yes
TRN00141,EMP0042,Project Management,Udemy,2024-02-07,24,74,No
TRN00142,EMP0042,Excel Advanced,LinkedIn Learning,2025-10-19,24,83,Yes
TRN00143,EMP0043,Design Thinking,LinkedIn Learning,2025-02-14,4,70,No
TRN00144,EMP0043,DevOps CI/CD,Internal L&D,2024-02-16,8,69,Yes
TRN00145,EMP0043,Communication Skills,Pluralsight,2024-05-30,40,77,No
TRN00146,EMP0043,Cloud AWS,LinkedIn Learning,2024-10-07,40,68,No
TRN00147,EMP0044,Agile & Scrum,Pluralsight,2023-07-31,16,64,No
TRN00148,EMP0045,DevOps CI/CD,Internal L&D,2024-05-24,20,98,No
TRN00149,EMP0046,SQL Mastery,Pluralsight,2024-05-18,20,69,Yes
TRN00150,EMP0046,Python for Data,Coursera,2025-05-25,8,97,No
TRN00151,EMP0046,Communication Skills,Coursera,2024-12-22,24,71,No
TRN00152,EMP0047,Data Visualization,Udemy,2025-08-16,24,72,Yes
TRN00153,EMP0047,Cybersecurity Basics,LinkedIn Learning,2025-05-16,20,81,No
TRN00154,EMP0047,Project Management,Udemy,2025-01-12,24,62,No
TRN00155,EMP0047,SQL Mastery,Pluralsight,2024-12-10,4,68,Yes
TRN00156,EMP0047,Python for Data,LinkedIn Learning,2024-03-15,20,93,Yes
TRN00157,EMP0048,DevOps CI/CD,Coursera,2026-03-16,4,65,Yes
TRN00158,EMP0048,ML Fundamentals,Internal L&D,2023-10-26,12,98,Yes
TRN00159,EMP0048,Design Thinking,Udemy,2025-07-03,4,75,No
TRN00160,EMP0048,React JS,Pluralsight,2023-06-05,20,81,No
TRN00161,EMP0048,Communication Skills,LinkedIn Learning,2024-10-14,8,91,Yes
TRN00162,EMP0049,React JS,Udemy,2024-03-26,16,91,No
TRN00163,EMP0050,Agile & Scrum,Coursera,2023-09-08,24,92,Yes
TRN00164,EMP0050,React JS,LinkedIn Learning,2024-07-26,20,79,Yes
TRN00165,EMP0050,ML Fundamentals,Coursera,2025-11-21,20,91,No
TRN00166,EMP0050,DevOps CI/CD,Internal L&D,2026-02-18,24,76,Yes
TRN00167,EMP0051,ML Fundamentals,Coursera,2023-06-12,4,93,No
TRN00168,EMP0052,Project Management,Coursera,2024-07-16,4,67,Yes
TRN00169,EMP0052,Leadership 101,Internal L&D,2025-04-05,20,88,No
TRN00170,EMP0052,Excel Advanced,Internal L&D,2023-04-21,8,63,Yes
TRN00171,EMP0053,SQL Mastery,Coursera,2026-01-02,20,67,No
TRN00172,EMP0053,Leadership 101,Coursera,2024-12-27,8,75,Yes
TRN00173,EMP0054,React JS,Pluralsight,2023-10-11,40,65,No
TRN00174,EMP0054,Data Visualization,Pluralsight,2024-03-12,4,86,Yes
TRN00175,EMP0054,ML Fundamentals,Coursera,2024-09-22,4,84,No
TRN00176,EMP0054,Design Thinking,Udemy,2025-10-20,8,85,Yes
TRN00177,EMP0055,DevOps CI/CD,LinkedIn Learning,2024-07-10,4,62,Yes
TRN00178,EMP0055,Excel Advanced,Coursera,2025-11-02,20,71,No
TRN00179,EMP0055,SQL Mastery,Coursera,2024-07-10,16,100,Yes
TRN00180,EMP0055,Python for Data,Udemy,2024-05-09,20,61,Yes
TRN00181,EMP0055,React JS,Udemy,2025-10-11,4,71,Yes
TRN00182,EMP0056,Power BI,Coursera,2023-09-06,40,77,No
TRN00183,EMP0056,ML Fundamentals,Pluralsight,2025-06-07,4,75,No
TRN00184,EMP0056,SQL Mastery,Coursera,2025-11-14,16,69,No
TRN00185,EMP0056,Excel Advanced,Udemy,2023-06-19,24,78,No
TRN00186,EMP0056,Cloud AWS,Coursera,2023-04-20,16,73,No
TRN00187,EMP0057,Agile & Scrum,LinkedIn Learning,2023-05-31,4,85,Yes
TRN00188,EMP0057,DevOps CI/CD,Internal L&D,2024-01-01,12,64,Yes
TRN00189,EMP0058,React JS,LinkedIn Learning,2025-05-18,4,91,Yes
TRN00190,EMP0058,DevOps CI/CD,Coursera,2025-04-18,24,64,No
TRN00191,EMP0058,Excel Advanced,Coursera,2024-06-02,8,68,Yes
TRN00192,EMP0059,Communication Skills,Udemy,2024-11-26,4,90,No
TRN00193,EMP0059,Project Management,Coursera,2024-05-22,12,96,No
TRN00194,EMP0059,Agile & Scrum,Internal L&D,2025-02-25,8,75,Yes
TRN00195,EMP0059,Python for Data,Udemy,2025-05-31,8,93,No
TRN00196,EMP0059,Excel Advanced,Internal L&D,2024-10-26,8,74,Yes
TRN00197,EMP0060,Data Visualization,Coursera,2024-12-07,4,85,Yes
TRN00198,EMP0060,React JS,Internal L&D,2025-12-30,12,62,Yes
TRN00199,EMP0060,ML Fundamentals,LinkedIn Learning,2025-09-03,20,75,Yes
TRN00200,EMP0060,Python for Data,LinkedIn Learning,2025-06-15,12,60,Yes
TRN00201,EMP0060,Cybersecurity Basics,Udemy,2024-09-10,40,100,No
TRN00202,EMP0061,ML Fundamentals,LinkedIn Learning,2025-06-09,40,78,Yes
TRN00203,EMP0061,Cybersecurity Basics,Coursera,2023-10-23,20,66,Yes
TRN00204,EMP0061,Power BI,Udemy,2024-06-16,8,60,Yes
TRN00205,EMP0062,Data Visualization,Pluralsight,2023-04-20,16,61,Yes
TRN00206,EMP0062,SQL Mastery,Internal L&D,2025-03-20,4,89,No
TRN00207,EMP0062,Excel Advanced,Coursera,2024-03-01,16,89,No
TRN00208,EMP0062,ML Fundamentals,LinkedIn Learning,2023-05-18,12,85,Yes
TRN00209,EMP0063,Power BI,Pluralsight,2024-11-07,8,98,No
TRN00210,EMP0063,Leadership 101,LinkedIn Learning,2025-08-23,20,100,No
TRN00211,EMP0063,DevOps CI/CD,Udemy,2023-04-26,8,60,No
TRN00212,EMP0063,React JS,Pluralsight,2025-12-26,4,61,Yes
TRN00213,EMP0064,Design Thinking,LinkedIn Learning,2025-12-30,16,78,Yes
TRN00214,EMP0064,Power BI,LinkedIn Learning,2024-11-22,40,69,No
TRN00215,EMP0064,Data Visualization,Coursera,2025-09-18,12,81,Yes
TRN00216,EMP0064,Agile & Scrum,Coursera,2024-12-03,12,97,No
TRN00217,EMP0065,Python for Data,Coursera,2024-01-28,24,99,Yes
TRN00218,EMP0065,ML Fundamentals,Internal L&D,2025-03-22,12,90,Yes
TRN00219,EMP0065,DevOps CI/CD,LinkedIn Learning,2025-08-22,12,68,No
TRN00220,EMP0066,Excel Advanced,Udemy,2025-07-29,24,65,Yes
TRN00221,EMP0066,Cloud AWS,Pluralsight,2023-05-26,20,93,Yes
TRN00222,EMP0067,Data Visualization,Pluralsight,2023-11-30,12,87,No
TRN00223,EMP0067,Python for Data,Internal L&D,2023-06-29,8,72,No
TRN00224,EMP0067,Power BI,Coursera,2025-09-22,12,67,No
TRN00225,EMP0068,Design Thinking,Internal L&D,2023-05-02,8,71,No
TRN00226,EMP0069,Data Visualization,Udemy,2023-09-17,8,76,Yes
TRN00227,EMP0069,DevOps CI/CD,Internal L&D,2025-08-15,8,71,Yes
TRN00228,EMP0070,Data Visualization,LinkedIn Learning,2023-06-09,4,84,Yes
TRN00229,EMP0070,Cloud AWS,Internal L&D,2023-06-19,12,95,No
TRN00230,EMP0070,SQL Mastery,Pluralsight,2024-03-08,20,67,No
TRN00231,EMP0070,Project Management,Udemy,2024-05-28,8,99,No
TRN00232,EMP0070,DevOps CI/CD,Pluralsight,2023-11-03,4,94,Yes
TRN00233,EMP0071,Communication Skills,Coursera,2024-01-10,40,63,No
TRN00234,EMP0071,Power BI,LinkedIn Learning,2025-06-05,12,86,No
TRN00235,EMP0071,React JS,Internal L&D,2024-09-18,16,95,No
TRN00236,EMP0071,Data Visualization,Internal L&D,2024-03-18,12,63,No
TRN00237,EMP0071,DevOps CI/CD,LinkedIn Learning,2023-08-02,24,64,No
TRN00238,EMP0072,Design Thinking,Pluralsight,2024-02-17,12,89,Yes
TRN00239,EMP0072,React JS,Pluralsight,2024-03-20,20,87,Yes
TRN00240,EMP0073,Leadership 101,Pluralsight,2025-03-11,24,81,Yes
TRN00241,EMP0074,Agile & Scrum,Udemy,2025-01-25,24,81,Yes
TRN00242,EMP0074,ML Fundamentals,Coursera,2024-08-22,8,94,No
TRN00243,EMP0074,Power BI,LinkedIn Learning,2023-12-03,20,67,Yes
TRN00244,EMP0075,Leadership 101,Pluralsight,2023-07-02,40,81,Yes
TRN00245,EMP0075,ML Fundamentals,Coursera,2025-09-08,16,74,Yes
TRN00246,EMP0075,Agile & Scrum,Pluralsight,2024-07-09,40,63,Yes
TRN00247,EMP0076,DevOps CI/CD,Internal L&D,2025-12-03,16,85,Yes
TRN00248,EMP0076,ML Fundamentals,Coursera,2023-12-13,24,61,No
TRN00249,EMP0076,Cloud AWS,Coursera,2026-01-02,4,97,No
TRN00250,EMP0076,Python for Data,Coursera,2025-03-30,16,78,No
TRN00251,EMP0076,SQL Mastery,LinkedIn Learning,2024-10-25,4,87,Yes
TRN00252,EMP0077,Agile & Scrum,Internal L&D,2025-11-25,8,95,No
TRN00253,EMP0077,ML Fundamentals,Udemy,2023-11-30,40,100,No
TRN00254,EMP0077,Project Management,LinkedIn Learning,2025-07-30,16,87,No
TRN00255,EMP0078,DevOps CI/CD,Internal L&D,2024-04-08,24,86,Yes
TRN00256,EMP0078,Project Management,Udemy,2025-12-05,8,70,No
TRN00257,EMP0078,Excel Advanced,Udemy,2026-01-01,40,62,Yes
TRN00258,EMP0078,Leadership 101,Pluralsight,2023-09-14,20,62,No
TRN00259,EMP0078,Design Thinking,Internal L&D,2025-07-14,40,80,Yes
TRN00260,EMP0079,SQL Mastery,LinkedIn Learning,2024-05-01,4,88,No
TRN00261,EMP0079,Power BI,Pluralsight,2024-07-21,8,96,No
TRN00262,EMP0079,Agile & Scrum,Internal L&D,2023-09-28,24,100,No
TRN00263,EMP0080,DevOps CI/CD,LinkedIn Learning,2023-09-30,20,66,No
TRN00264,EMP0081,Leadership 101,LinkedIn Learning,2024-04-21,40,75,No
TRN00265,EMP0082,Project Management,Udemy,2025-11-08,8,94,Yes
TRN00266,EMP0082,Cloud AWS,Coursera,2024-06-25,4,93,No
TRN00267,EMP0083,Cloud AWS,Udemy,2025-03-11,40,90,Yes
TRN00268,EMP0083,SQL Mastery,Internal L&D,2024-01-23,16,67,Yes
TRN00269,EMP0084,Cybersecurity Basics,LinkedIn Learning,2025-11-05,16,70,Yes
TRN00270,EMP0085,Agile & Scrum,Internal L&D,2024-07-17,24,82,No
TRN00271,EMP0085,Cloud AWS,Coursera,2024-10-31,40,80,No
TRN00272,EMP0085,Project Management,Internal L&D,2024-12-21,16,72,Yes
TRN00273,EMP0085,ML Fundamentals,Coursera,2025-06-25,20,94,No
TRN00274,EMP0086,Leadership 101,Coursera,2023-05-04,20,93,No
TRN00275,EMP0086,Communication Skills,Udemy,2024-05-08,4,67,No
TRN00276,EMP0086,React JS,Pluralsight,2025-04-24,16,92,Yes
TRN00277,EMP0086,Agile & Scrum,Internal L&D,2025-05-09,16,60,Yes
TRN00278,EMP0086,Project Management,LinkedIn Learning,2023-08-24,20,99,Yes
TRN00279,EMP0087,Cloud AWS,Internal L&D,2024-04-18,20,93,Yes
TRN00280,EMP0087,DevOps CI/CD,Internal L&D,2023-08-18,16,73,No
TRN00281,EMP0088,Python for Data,Udemy,2025-09-10,40,72,Yes
TRN00282,EMP0088,Design Thinking,LinkedIn Learning,2024-05-09,24,65,Yes
TRN00283,EMP0088,ML Fundamentals,Udemy,2025-10-16,8,69,Yes
TRN00284,EMP0088,Project Management,Pluralsight,2023-04-20,12,81,Yes
TRN00285,EMP0089,Python for Data,Pluralsight,2024-07-19,12,96,Yes
TRN00286,EMP0089,Design Thinking,Coursera,2025-07-06,12,91,No
TRN00287,EMP0090,Excel Advanced,Internal L&D,2024-05-14,20,86,Yes
TRN00288,EMP0090,Leadership 101,Udemy,2024-07-27,24,90,Yes
TRN00289,EMP0090,Cybersecurity Basics,Udemy,2025-12-29,40,95,Yes
TRN00290,EMP0091,SQL Mastery,Pluralsight,2024-04-19,12,92,Yes
TRN00291,EMP0091,Data Visualization,Coursera,2024-03-29,4,72,No
TRN00292,EMP0091,React JS,Internal L&D,2023-08-13,16,63,Yes
TRN00293,EMP0091,Agile & Scrum,Udemy,2026-01-31,12,64,No
TRN00294,EMP0091,Power BI,Pluralsight,2025-10-23,16,60,Yes
TRN00295,EMP0092,Project Management,Udemy,2025-07-31,24,76,Yes
TRN00296,EMP0092,Cloud AWS,Coursera,2025-02-27,24,61,Yes
TRN00297,EMP0092,Excel Advanced,Pluralsight,2023-10-03,16,90,Yes
TRN00298,EMP0092,Python for Data,Udemy,2026-02-14,24,75,No
TRN00299,EMP0092,DevOps CI/CD,Pluralsight,2024-07-02,20,94,No
TRN00300,EMP0093,Agile & Scrum,Udemy,2025-10-09,24,93,Yes
TRN00301,EMP0093,Design Thinking,LinkedIn Learning,2025-08-24,20,82,Yes
TRN00302,EMP0093,Python for Data,Pluralsight,2025-01-13,8,86,Yes
TRN00303,EMP0093,ML Fundamentals,Udemy,2024-03-28,4,88,Yes
TRN00304,EMP0093,Leadership 101,LinkedIn Learning,2026-02-16,16,66,Yes
TRN00305,EMP0094,Communication Skills,Udemy,2024-07-22,4,84,No
TRN00306,EMP0094,Design Thinking,Pluralsight,2023-06-05,4,96,No
TRN00307,EMP0094,Power BI,Internal L&D,2026-01-06,4,65,No
TRN00308,EMP0095,React JS,Udemy,2023-04-07,12,78,No
TRN00309,EMP0096,DevOps CI/CD,Udemy,2023-06-21,20,72,No
TRN00310,EMP0097,Cloud AWS,Internal L&D,2024-12-25,20,81,No
TRN00311,EMP0097,ML Fundamentals,Udemy,2024-06-17,40,88,No
TRN00312,EMP0098,Project Management,Udemy,2023-12-28,40,88,No
TRN00313,EMP0099,Python for Data,Pluralsight,2025-02-13,24,64,Yes
TRN00314,EMP0099,Cybersecurity Basics,Internal L&D,2023-07-15,16,83,No
TRN00315,EMP0099,Communication Skills,LinkedIn Learning,2023-09-05,24,86,No
TRN00316,EMP0099,Agile & Scrum,Udemy,2025-08-03,16,75,Yes
TRN00317,EMP0100,Cybersecurity Basics,Coursera,2026-02-07,12,82,Yes
TRN00318,EMP0100,React JS,LinkedIn Learning,2025-12-17,16,90,No
TRN00319,EMP0100,Data Visualization,Pluralsight,2025-04-16,20,68,No
TRN00320,EMP0100,Communication Skills,LinkedIn Learning,2026-02-03,8,86,Yes
TRN00321,EMP0101,Power BI,Internal L&D,2024-11-23,12,94,Yes
TRN00322,EMP0101,Design Thinking,Udemy,2025-05-17,4,78,Yes
TRN00323,EMP0101,ML Fundamentals,LinkedIn Learning,2024-10-03,12,60,Yes
TRN00324,EMP0101,Cybersecurity Basics,LinkedIn Learning,2025-06-12,16,100,Yes
TRN00325,EMP0101,Agile & Scrum,Udemy,2023-12-08,16,93,Yes
TRN00326,EMP0102,Data Visualization,Coursera,2025-06-29,40,66,Yes
TRN00327,EMP0102,Design Thinking,Udemy,2025-09-19,24,86,Yes
TRN00328,EMP0102,Excel Advanced,Udemy,2024-11-23,4,74,Yes
TRN00329,EMP0102,ML Fundamentals,LinkedIn Learning,2024-06-17,16,76,Yes
TRN00330,EMP0102,Cybersecurity Basics,Udemy,2025-09-17,20,95,Yes
TRN00331,EMP0103,Cybersecurity Basics,Coursera,2026-03-14,16,66,No
TRN00332,EMP0103,Communication Skills,Coursera,2026-01-15,40,92,Yes
TRN00333,EMP0103,Data Visualization,Pluralsight,2024-06-02,24,65,Yes
TRN00334,EMP0103,Design Thinking,Udemy,2024-12-18,4,70,No
TRN00335,EMP0103,SQL Mastery,LinkedIn Learning,2024-11-21,8,82,Yes
TRN00336,EMP0104,DevOps CI/CD,Internal L&D,2025-05-09,16,83,No
TRN00337,EMP0105,Project Management,Internal L&D,2024-06-13,24,69,Yes
TRN00338,EMP0105,Cloud AWS,Coursera,2026-01-14,24,60,No
TRN00339,EMP0105,ML Fundamentals,Internal L&D,2023-08-05,40,81,No
TRN00340,EMP0106,Agile & Scrum,LinkedIn Learning,2023-11-29,4,96,No
TRN00341,EMP0106,ML Fundamentals,Coursera,2023-06-03,24,87,No
TRN00342,EMP0106,Cybersecurity Basics,Coursera,2025-07-19,40,64,No
TRN00343,EMP0106,Power BI,Udemy,2023-09-15,16,84,No
TRN00344,EMP0107,Design Thinking,Udemy,2024-11-26,12,83,No
TRN00345,EMP0108,Project Management,Coursera,2024-11-26,8,74,No
TRN00346,EMP0108,Cybersecurity Basics,Pluralsight,2025-10-16,12,89,No
